iter	Passed	Remaining
1105	3973	3212
1106	3977	3208
1107	3980	3204
1108	3988	3204
1109	3998	3206
1110	4005	3205
1111	4013	3204
1112	4015	3200
1113	4023	3200
1114	4028	3197
1115	4031	3193
1116	4034	3189
1117	4037	3185
1118	4042	3182
1119	4046	3179
1120	4051	3176
1121	4053	3172
1122	4054	3166
1123	4057	3162
1124	4060	3158
1125	4063	3153
1126	4064	3148
1127	4070	3146
1128	4071	3141
1129	4075	3138
1130	4080	3135
1131	4085	3132
1132	4093	3132
1133	4097	3128
1134	4099	3124
1135	4102	3120
1136	4105	3115
1137	4107	3111
1138	4114	3110
1139	4118	3106
1140	4120	3102
1141	4127	3100
1142	4133	3098
1143	4135	3094
1144	4137	3089
1145	4139	3084
1146	4144	3082
1147	4146	3077
1148	4152	3075
1149	4153	3069
1150	4155	3065
1151	4161	3063
1152	4163	3058
1153	4166	3054
1154	4168	3049
1155	4170	3044
1156	4179	3045
1157	4181	3040
1158	4186	3037
1159	4188	3033
1160	4199	3034
1161	4203	3031
1162	4209	3029
1163	4222	3032
1164	4239	3038
1165	4241	3033
1166	4257	3039
1167	4263	3036
1168	4274	3038
1169	4276	3033
1170	4279	3029
1171	4281	3024
1172	4294	3028
1173	4296	3022
1174	4298	3018
1175	4310	3020
1176	4319	3020
1177	4322	3016
1178	4325	3012
1179	4335	3012
1180	4338	3008
1181	4343	3005
1182	4355	3008
1183	4360	3005
1184	4365	3002
1185	4367	2997
1186	4375	2996
1187	4379	2993
1188	4384	2990
1189	4395	2991
1190	4397	2987
1191	4411	2990
1192	4415	2987
1193	4427	2989
1194	4449	2997
1195	4450	2991
1196	4453	2987
1197	4455	2982
1198	4467	2984
1199	4471	2980
1200	4477	2978
1201	4489	2980
1202	4496	2978
1203	4497	2973
1204	4502	2970
1205	4504	2965
1206	4506	2960
1207	4511	2957
1208	4524	2960
1209	4528	2956
1210	4534	2954
1211	4538	2950
1212	4544	2948
1213	4548	2944
1214	4552	2941
1215	4555	2937
1216	4560	2934
1217	4562	2929
1218	4564	2924
1219	4571	2922
1220	4573	2917
1221	4575	2913
1222	4577	2908
1223	4579	2903
1224	4581	2898
1225	4590	2898
1226	4593	2894
1227	4597	2890
1228	4598	2885
1229	4616	2890
1230	4618	2885
1231	4638	2891
1232	4641	2887
1233	4648	2885
1234	4650	2880
1235	4657	2878
1236	4731	2918
1237	4747	2922
1238	4782	2937
1239	4787	2934
1240	4797	2934
1241	4801	2930
1242	4816	2933
1243	4822	2930
1244	4834	2931
1245	4864	2943
1246	4869	2940
1247	4884	2943
1248	4887	2938
1249	4891	2934
1250	4904	2936
1251	4908	2932
1252	4925	2936
1253	4929	2932
1254	4945	2935
1255	4960	2938
1256	4962	2933
1257	4979	2936
1258	4993	2939
1259	5004	2938
1260	5011	2937
1261	5019	2935
1262	5035	2938
1263	5041	2935
1264	5055	2937
1265	5060	2933
1266	5071	2933
1267	5072	2928
1268	5074	2923
1269	5086	2924
1270	5089	2919
1271	5092	2914
1272	5100	2912
1273	5105	2909
1274	5107	2904
1275	5112	2900
1276	5118	2897
1277	5125	2895
1278	5127	2890
1279	5131	2886
1280	5137	2883
1281	5144	2881
1282	5147	2876
1283	5148	2871
1284	5152	2866
1285	5155	2862
1286	5157	2857
1287	5159	2852
1288	5162	2847
1289	5165	2843
1290	5167	2837
1291	5170	2833
1292	5173	2828
1293	5178	2825
1294	5182	2821
1295	5185	2816
1296	5193	2815
1297	5198	2811
1298	5203	2807
1299	5208	2804
1300	5211	2800
1301	5213	2795
1302	5215	2790
1303	5221	2786
1304	5223	2781
1305	5225	2776
1306	5226	2771
1307	5227	2765
1308	5229	2760
1309	5230	2755
1310	5235	2751
1311	5237	2746
1312	5239	2741
1313	5241	2736
1314	5241	2730
1315	5243	2725
1316	5244	2719
1317	5246	2714
1318	5249	2710
1319	5251	2705
1320	5252	2699
1321	5254	2694
1322	5256	2689
1323	5257	2684
1324	5259	2679
1325	5262	2674
1326	5265	2670
1327	5268	2665
1328	5270	2661
1329	5271	2655
1330	5275	2651
1331	5276	2646
1332	5278	2641
1333	5280	2636
1334	5283	2632
1335	5286	2627
1336	5288	2622
1337	5290	2617
1338	5294	2613
1339	5296	2608
1340	5298	2603
1341	5299	2598
1342	5300	2593
1343	5302	2588
1344	5303	2582
1345	5309	2579
1346	5310	2574
1347	5312	2569
1348	5314	2564
1349	5314	2558
1350	5316	2553
1351	5318	2548
1352	5319	2543
1353	5323	2539
1354	5326	2535
1355	5327	2530
1356	5329	2525
1357	5330	2520
1358	5332	2515
1359	5334	2510
1360	5339	2506
1361	5341	2502
1362	5343	2497
1363	5344	2492
1364	5346	2487
1365	5348	2482
1366	5354	2479
1367	5356	2474
1368	5357	2469
1369	5359	2464
1370	5361	2459
1371	5363	2454
1372	5364	2449
1373	5368	2445
1374	5375	2443
1375	5378	2438
1376	5380	2434
1377	5383	2430
1378	5387	2426
1379	5389	2421
1380	5393	2417
1381	5404	2416
1382	5407	2412
1383	5409	2407
1384	5411	2402
1385	5416	2399
1386	5418	2394
1387	5420	2390
1388	5422	2385
1389	5424	2380
1390	5425	2375
1391	5429	2371
1392	5432	2367
1393	5433	2362
1394	5435	2357
1395	5437	2352
1396	5439	2347
1397	5441	2343
1398	5447	2340
1399	5449	2335
1400	5450	2330
1401	5452	2325
1402	5454	2321
1403	5456	2316
1404	5461	2312
1405	5463	2308
1406	5466	2303
1407	5468	2299
1408	5470	2294
1409	5473	2290
1410	5477	2286
1411	5479	2281
1412	5480	2276
1413	5481	2271
1414	5483	2267
1415	5485	2262
1416	5488	2258
1417	5491	2253
1418	5494	2249
1419	5496	2245
1420	5499	2240
1421	5501	2236
1422	5506	2232
1423	5512	2229
1424	5514	2225
1425	5516	2220
1426	5518	2215
1427	5520	2211
1428	5522	2206
1429	5524	2202
1430	5526	2197
1431	5529	2193
1432	5531	2188
1433	5532	2183
1434	5538	2180
1435	5539	2175
1436	5542	2171
1437	5544	2166
1438	5546	2162
1439	5549	2158
1440	5555	2154
1441	5564	2153
1442	5568	2149
1443	5573	2146
1444	5576	2141
1445	5578	2137
1446	5582	2133
1447	5585	2129
1448	5588	2125
1449	5590	2120
1450	5592	2116
1451	5599	2113
1452	5602	2109
1453	5604	2104
1454	5606	2100
1455	5608	2095
1456	5610	2091
1457	5614	2087
1458	5617	2082
1459	5619	2078
1460	5622	2074
1461	5629	2071
1462	5631	2066
1463	5633	2062
1464	5637	2058
1465	5640	2054
1466	5647	2051
1467	5649	2047
1468	5652	2043
1469	5655	2039
1470	5659	2035
1471	5665	2032
1472	5668	2027
1473	5670	2023
1474	5671	2018
1475	5675	2014
1476	5678	2010
1477	5680	2006
1478	5682	2001
1479	5685	1997
1480	5687	1993
1481	5691	1989
1482	5693	1984
1483	5695	1980
1484	5697	1975
1485	5698	1971
1486	5700	1966
1487	5701	1961
1488	5703	1957
1489	5706	1953
1490	5707	1948
1491	5709	1944
1492	5711	1939
1493	5713	1934
1494	5718	1931
1495	5724	1928
1496	5728	1924
1497	5730	1920
1498	5736	1917
1499	5738	1912
1500	5739	1908
1501	5741	1903
1502	5745	1899
1503	5750	1896
1504	5753	1892
1505	5756	1888
1506	5759	1884
1507	5762	1880
1508	5765	1875
1509	5770	1872
1510	5773	1868
1511	5778	1865
1512	5782	1861
1513	5783	1856
1514	5785	1852
1515	5787	1847
1516	5789	1843
1517	5791	1838
1518	5793	1834
1519	5796	1830
1520	5799	1826
1521	5800	1821
1522	5804	1817
1523	5810	1814
1524	5813	1810
1525	5815	1806
1526	5817	1802
1527	5819	1797
1528	5821	1793
1529	5828	1790
1530	5831	1786
1531	5833	1782
1532	5835	1777
1533	5842	1774
1534	5847	1771
1535	5849	1767
1536	5853	1763
1537	5855	1759
1538	5859	1755
1539	5861	1750
1540	5863	1746
1541	5865	1742
1542	5866	1737
1543	5870	1733
1544	5873	1729
1545	5875	1725
1546	5877	1721
1547	5879	1716
1548	5880	1712
1549	5882	1707
1550	5886	1704
1551	5890	1700
1552	5892	1696
1553	5894	1691
1554	5895	1687
1555	5896	1682
1556	5898	1678
1557	5904	1675
1558	5906	1670
1559	5908	1666
1560	5910	1662
1561	5912	1657
1562	5918	1654
1563	5921	1650
1564	5923	1646
1565	5924	1642
1566	5926	1637
1567	5928	1633
1568	5933	1629
1569	5935	1625
1570	5938	1621
1571	5943	1618
1572	5952	1615
1573	5955	1611
1574	5959	1608
1575	5961	1603
1576	5964	1599
1577	5966	1595
1578	5967	1591
1579	5969	1586
1580	5973	1583
1581	5977	1579
1582	5982	1575
1583	5983	1571
1584	5985	1567
1585	5985	1562
1586	5987	1558
1587	5989	1554
1588	5994	1550
1589	5996	1546
1590	5998	1542
1591	6000	1537
1592	6002	1533
1593	6003	1529
1594	6005	1525
1595	6008	1520
1596	6009	1516
1597	6011	1512
1598	6013	1508
1599	6015	1503
1600	6017	1499
1601	6018	1495
1602	6022	1491
1603	6024	1487
1604	6026	1483
1605	6027	1478
1606	6029	1474
1607	6030	1470
1608	6032	1465
